ISO,GDP.2011,pop.2010,Country name,NOC,F.2012,M.2012,NOC SIZE,NOC.Size.Per.100K.pop,Gold,Silver,Bronze,Total,Bronze.Per.100K.pop,Silver.Per.100K.pop,Gold.Per.100K.pop,Total.Per.100K.pop,Bronze.Per.1BN.GDP,Silver.Per.1BN.GDP,Gold.Per.1BN.GDP,Total.Per.1BN.GDP,Bronze.Per.Athlete,Silver.Per.Athlete,Gold.Per.Athlete,Total.Per.Athlete,Bronze.pop,Silver.pop,Gold.pop,Total.pop,Bronze.GDP,Silver.GDP,Gold.GDP,Total.GDP,Bronze.Athlete,Silver.Athlete,Gold.Athlete,Total.Athlete,GDP rank score,Population rank score,Athlete rank score,Official medal ranking,GDP rank,Pop rank,Team size rank,,"Total medal score (gold=3, silver =2, bronze=1)",Model-based score,Model-based rank
BRA,"2,476,650,000,000.00","194,946,000",Brazil,BRA,128,138,266,0.136448042,3,5,9,17,0.004616663,0.002564813,0.001538888,0.008720364,0.003633941,0.002018856,0.001211314,0.006864111,0.033834586,0.018796992,0.011278195,0.063909774,0.7,0.4,0.2,1.3,0.41,0.3,0.12,0.83,3.6,2.43,1.86,7.89,1.37,2.1,14.04,15,71,67,54,,28,-32.55746406,202
VGB,"909,000,000.00","88,000",British Virgin Islands,IVB,1,1,2,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.154208004,64
BRN,"13,024,000,000.00","399,000",Brunei,BRU,1,2,3,0.751879699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.122763877,124
BGR,"53,514,098,360.00","7,534,000",Bulgaria,BUL,26,37,63,0.836209185,0,1,1,2,0.013273162,0.013273162,0,0.026546323,0.018686664,0.018686664,0,0.037373329,0.015873016,0.015873016,0,0.031746032,1.9,2.2,0,4.1,2.1,2.8,0,4.9,1.69,2.05,0,3.74,7.7,6.3,5.79,58,38,54,78,,3,-0.384030734,88
BFA,"10,187,211,704.00","16,468,000",Burkina Faso,BUR,3,2,5,0.030361914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.022234693,119
MMR,"50,200,000,000.00","47,963,000",Burma,MYA,3,3,6,0.012509643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-3.370643854,156
BDI,"2,325,972,144.00","8,382,000",Burundi,BDI,4,2,6,0.071581961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.341077928,85
KHM,"12,875,310,959.00","14,139,000",Cambodia,CAM,3,3,6,0.042435816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.2092623,128
CMR,"25,464,850,391.00","19,599,000",Cameroon,CMR,27,10,37,0.188785142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.008068416,146
CAN,"1,736,050,000,000.00","34,126,000",Canada,CAN,158,121,279,0.81755846,1,5,12,18,0.035163805,0.014651585,0.002930317,0.052745707,0.006912243,0.002880101,0.00057602,0.010368365,0.043010753,0.017921147,0.003584229,0.064516129,5,2.4,0.3,7.7,0.78,0.43,0.06,1.27,4.57,2.31,0.59,7.47,1.82,10.7,10.96,19,65,46,63,,25,-19.83353822,198
CPV,"1,901,136,230.00","496,000",Cape Verde,CPV,2,1,3,0.60483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.275581447,78
CYM,"3,208,000,000.00","56,230",Cayman Islands,CAY,1,4,5,8.892050507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.38442012,89
CAF,"2,165,868,600.00","4,401,000",Central African Republic,CAF,3,3,6,0.136332652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.318921828,81
TCD,"9,485,741,541.00","11,227,000",Chad,CHA,2,1,3,0.026721297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.961611177,115
CHL,"248,585,000,000.00","17,113,688",Chile,CHI,14,21,35,0.204514655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-10.6245928,190
CHN,"7,298,100,000,000.00","1,338,300,000",China,CHN,208,163,371,0.027721737,38,27,23,88,0.001718598,0.002017485,0.002839423,0.006575506,0.003151505,0.003699593,0.005206835,0.012057933,0.061994609,0.07277628,0.102425876,0.237196765,0.2,0.3,0.3,0.8,0.35,0.55,0.53,1.43,6.59,9.4,16.9,32.89,3.04,1.7,76.09,2,54,73,1,,191,50.24414542,3
COL,"331,655,000,000.00","46,295,000",Colombia,COL,63,46,109,0.235446593,1,3,4,8,0.008640242,0.006480181,0.00216006,0.017280484,0.012060726,0.009045544,0.003015181,0.024121452,0.036697248,0.027522936,0.009174312,0.073394495,1.2,1.1,0.3,2.6,1.36,1.36,0.3,3.02,3.9,3.55,1.51,8.96,4.98,4.3,15.53,33,47,60,47,,13,-0.429117021,91
COM,"610,114,091.70","735,000",Comoros,COM,2,1,3,0.408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.12095121,57
COG,"14,748,024,198.00","4,043,000",Congo-Brazzaville,CGO,3,4,7,0.173138758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.297573344,130
COK,"248,000,000.00","20,000",Cook Islands,COK,5,3,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.057538136,51
CRI,"41,006,959,585.00","4,659,000",Costa Rica,CRC,3,8,11,0.236102168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.753643756,152
HRV,"63,850,068,202.00","4,418,000",Croatia,CRO,45,65,110,2.489814396,3,1,2,6,0.045269353,0.022634676,0.067904029,0.135808058,0.031323381,0.01566169,0.046985071,0.093970142,0.018181818,0.009090909,0.027272727,0.054545455,6.5,3.7,7.9,18.1,3.52,2.35,4.75,10.62,1.93,1.17,4.5,7.6,22.47,37.6,17.77,33,19,15,38,,13,9.195929767,22
CUB,"64,100,000,000.00","11,258,000",Cuba,CUB,45,65,110,0.977082963,5,3,6,14,0.053295434,0.026647717,0.044412862,0.124356014,0.093603744,0.046801872,0.07800312,0.218408736,0.054545455,0.027272727,0.045454545,0.127272727,7.6,4.4,5.2,17.2,10.52,7.02,7.89,25.43,5.8,3.52,7.5,16.82,48.23,32,35.34,17,11,18,16,,27,23.10147925,8
CYP,"24,689,602,446.00","659,350",Cyprus,CYP,4,9,13,1.971638735,0,1,0,1,0,0.151664518,0,0.151664518,0,0.04050288,0,0.04050288,0,0.076923077,0,0.076923077,0,25.1,0,25.1,0,6.08,0,6.08,0,9.93,0,9.93,12.16,50.2,19.86,69,33,7,35,,2,0.185215959,45
CZE,"215,215,000,000.00","10,520,000",Czech Republic,CZE,65,68,133,1.264258555,4,3,3,10,0.02851711,0.02851711,0.038022814,0.095057034,0.013939549,0.013939549,0.018586065,0.046465163,0.022556391,0.022556391,0.030075188,0.07518797,4.1,4.7,4.4,13.2,1.57,2.09,1.88,5.54,2.4,2.91,4.96,10.27,11.39,26.7,23.1,22,34,21,28,,21,11.54726159,18
COD,"15,642,236,881.00","65,965,000",Democratic Republic of Congo,COD,1,3,4,0.006063822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.445253297,133
DNK,"332,677,000,000.00","5,547,000",Denmark,DEN,50,65,115,2.073192717,2,4,3,9,0.054083288,0.072111051,0.036055526,0.162249865,0.009017756,0.012023675,0.006011837,0.027053268,0.026086957,0.034782609,0.017391304,0.07826087,7.8,11.9,4.2,23.9,1.01,1.8,0.61,3.42,2.77,4.49,2.87,10.13,6.44,44.2,20.36,26,41,10,34,,17,4.185992703,27
DJI,"1,140,000,000.00","889,000",Djibouti,DJI,3,3,6,0.674915636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.192048262,70
DMA,"482,277,143.10","68,000",Dominica,DMA,1,1,2,2.941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.096352397,55
DOM,"55,611,245,616.00","9,927,000",Dominican Republic,DOM,20,15,35,0.352573789,1,1,0,2,0,0.010073537,0.010073537,0.020147074,0,0.017981974,0.017981974,0.035963949,0,0.028571429,0.028571429,0.057142857,0,1.7,1.2,2.9,0,2.7,1.82,4.52,0,3.69,4.71,8.4,10.86,7,21.51,50,35,51,30,,5,1.497013797,38
TLS,"1,054,000,000.00","1,124,000",East Timor,TLS,1,1,2,0.177935943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.182312017,68
ECU,"67,002,768,302.00","14,465,000",Ecuador,ECU,13,23,36,0.248876599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-4.050528185,161
EGY,"229,531,000,000.00","81,121,000",Egypt,EGY,35,81,116,0.142996265,0,2,0,2,0,0.002465453,0,0.002465453,0,0.00871342,0,0.00871342,0,0.017241379,0,0.017241379,0,0.4,0,0.4,0,1.31,0,1.31,0,2.23,0,2.23,2.62,0.8,4.46,53,59,80,80,,4,-6.389442256,172
SLV,"23,054,100,000.00","6,193,000",El Salvador,ESA,5,5,10,0.16147263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.81781283,140
GNQ,"19,789,801,404.00","700,000",Equatorial Guinea,GEQ,1,1,2,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.545422528,136
ERI,"2,608,715,447.00","5,254,000",Eritrea,ERI,1,11,12,0.228397411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.366989325,87
EST,"22,184,722,472.00","1,340,000",Estonia,EST,9,24,33,2.462686567,0,1,1,2,0.074626866,0.074626866,0,0.149253731,0.045076065,0.045076065,0,0.090152131,0.03030303,0.03030303,0,0.060606061,10.7,12.3,0,23,5.07,6.76,0,11.83,3.22,3.91,0,7.13,18.59,35.3,11.04,58,21,16,62,,3,1.294220341,40
ETH,"31,708,848,033.00","82,950,000",Ethiopia,ETH,17,18,35,0.042194093,3,1,3,7,0.003616637,0.001205546,0.003616637,0.008438819,0.094610816,0.031536939,0.094610816,0.220758572,0.085714286,0.028571429,0.085714286,0.2,0.5,0.2,0.4,1.1,10.64,4.73,9.57,24.94,9.11,3.69,14.14,26.94,48.81,2.1,58.91,29,9,67,6,,14,11.56185722,17
FJI,"3,812,749,216.00","860,000",Fiji,FIJ,3,6,9,1.046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.46471321,94
FIN,"266,071,000,000.00","5,364,000",Finland,FIN,28,28,56,1.043997017,0,1,2,3,0.037285608,0.018642804,0,0.055928412,0.007516791,0.003758395,0,0.011275186,0.035714286,0.017857143,0,0.053571429,5.3,3.1,0,8.4,0.85,0.56,0,1.41,3.8,2.31,0,6.11,1.97,11.5,8.42,53,62,42,71,,4,-6.871019184,174
FRA,"2,773,030,000,000.00","64,895,000",France,FRA,148,187,335,0.516218507,11,11,12,34,0.018491409,0.016950458,0.016950458,0.052392326,0.004327396,0.00396678,0.00396678,0.012260956,0.035820896,0.032835821,0.032835821,0.101492537,2.7,2.8,2,7.5,0.49,0.6,0.4,1.49,3.81,4.24,5.42,13.47,2.89,14.3,28.55,6,58,36,23,,67,2.869349544,33
GAB,"17,051,616,749.00","1,505,000",Gabon,GAB,2,26,28,1.860465116,0,1,0,1,0,0.066445183,0,0.066445183,0,0.058645465,0,0.058645465,0,0.035714286,0,0.035714286,0,11,0,11,0,8.8,0,8.8,0,4.61,0,4.61,17.6,22,9.22,69,24,26,69,,2,0.589519018,42
GMB,"1,109,306,596.00","1,729,000",Gambia,GAM,1,1,2,0.1156738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.191169174,69
GEO,"14,366,566,609.00","4,452,000",Georgia,GEO,6,29,35,0.786163522,1,3,3,7,0.067385445,0.067385445,0.022461815,0.157232704,0.20881816,0.20881816,0.069606053,0.487242373,0.085714286,0.085714286,0.028571429,0.2,9.7,11.1,2.6,23.4,23.48,31.33,7.04,61.85,9.11,11.07,4.71,24.89,107.26,39.7,45.38,35,5,13,10,,12,10.72425469,19
DEU,"3,570,560,000,000.00","81,777,000",Germany,GER,176,219,395,0.483020898,11,19,14,44,0.017119728,0.023233917,0.013451215,0.05380486,0.003920954,0.005321294,0.003080749,0.012322997,0.035443038,0.048101266,0.027848101,0.111392405,2.5,3.8,1.6,7.9,0.44,0.8,0.31,1.55,3.77,6.21,4.59,14.57,2.97,14.9,29.96,5,55,35,19,,85,7.408591742,23
GHA,"39,199,656,051.00","24,392,000",Ghana,GHA,3,6,9,0.036897343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.768334365,153
GRC,"298,734,000,000.00","11,316,000",Greece,GRE,39,66,105,0.927889714,0,0,2,2,0.01767409,0,0,0.01767409,0.006694919,0,0,0.006694919,0.019047619,0,0,0.019047619,2.5,0,0,2.5,0.75,0,0,0.75,2.02,0,0,2.02,0.75,2.5,2.02,69,79,64,84,,2,-10.03974797,187
GRD,"816,054,092.20","104,000",Grenada,GRN,4,6,10,9.615384615,1,0,0,1,0,0,0.961538462,0.961538462,0,0,1.225408964,1.225408964,0,0,0.1,0.1,0,0,111.9,111.9,0,0,123.93,123.93,0,0,16.5,16.5,371.79,335.7,49.5,58,1,1,9,,3,2.856955807,34
GUM,"2,773,000,000.00","179,000",Guam,GUM,3,5,8,4.469273743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.354889313,86
GTM,"46,900,000,257.00","14,389,000",Guatemala,GUA,7,12,19,0.132045312,0,1,0,1,0,0.006949753,0,0.006949753,0,0.021321962,0,0.021321962,0,0.052631579,0,0.052631579,0,1.1,0,1.1,0,3.2,0,3.2,0,6.8,0,6.8,6.4,2.2,13.6,69,43,66,55,,2,-1.11867268,122
GIN,"5,131,221,608.00","9,982,000",Guinea,GUI,1,2,3,0.030054097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.611409191,102
GNB,"973,427,456.50","1,515,000",Guinea-Bissau,GBS,2,2,4,0.264026403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.1731878,66
GUY,"2,260,000,000.00","755,000",Guyana,GUY,2,4,6,0.794701987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.315855159,80
HTI,"7,346,156,703.00","9,993,000",Haiti,HAI,2,3,5,0.050035025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.795253377,111
HND,"17,259,407,972.00","7,600,000",Honduras,HON,3,28,31,0.407894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.477435918,134
HKG,"243,666,000,000.00","7,068,000",Hong Kong,HKG,20,22,42,0.594227504,0,0,1,1,0.014148274,0,0,0.014148274,0.004103978,0,0,0.004103978,0.023809524,0,0,0.023809524,2,0,0,2,0.46,0,0,0.46,2.53,0,0,2.53,0.46,2,2.53,79,84,71,83,,1,-9.257915555,183
HUN,"140,029,000,000.00","10,000,000",Hungary,HUN,63,95,158,1.58,8,4,5,17,0.05,0.04,0.08,0.17,0.035706889,0.028565511,0.057131023,0.121403424,0.03164557,0.025316456,0.050632911,0.107594937,7.2,6.6,9.3,23.1,4.01,4.29,5.78,14.08,3.36,3.27,8.35,14.98,29.93,48.3,34.95,12,14,8,17,,37,30.10854078,4
ISL,"14,059,073,613.00","318,000",Iceland,ISL,6,22,28,8.805031447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.181234955,126
IND,"1,847,980,000,000.00","1,224,615,000",India,IND,23,60,83,0.00677764,0,2,4,6,0.000326633,0.000163317,0,0.00048995,0.002164526,0.001082263,0,0.003246788,0.048192771,0.024096386,0,0.072289157,0,0,0,0,0.24,0.16,0,0.4,5.12,3.11,0,8.23,0.56,0,11.34,41,81,85,61,,8,-42.99093458,203
IDN,"846,832,000,000.00","239,870,000",Indonesia,INA,9,13,22,0.009171635,0,1,1,2,0.000416892,0.000416892,0,0.000833785,0.001180872,0.001180872,0,0.002361744,0.045454545,0.045454545,0,0.090909091,0.1,0.1,0,0.2,0.13,0.18,0,0.31,4.83,5.87,0,10.7,0.49,0.3,16.57,58,82,84,42,,3,-24.72227843,201
IRN,"386,670,000,000.00","73,973,000",Iran,IRI,8,45,53,0.071647763,4,5,3,12,0.004055534,0.006759223,0.005407378,0.016222135,0.007758554,0.012930923,0.010344738,0.031034215,0.056603774,0.094339623,0.075471698,0.226415094,0.6,1.1,0.6,2.3,0.87,1.94,1.05,3.86,6.02,12.18,12.45,30.65,7.9,4.6,67.73,19,37,59,3,,25,9.808881636,20
IRQ,"115,388,000,000.00","32,031,000",Iraq,IRQ,3,5,8,0.024975805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-6.143880193,170
IRL,"217,275,000,000.00","4,475,000",Ireland,IRL,30,36,66,1.474860335,1,1,3,5,0.067039106,0.022346369,0.022346369,0.111731844,0.013807387,0.004602462,0.004602462,0.023012312,0.045454545,0.015151515,0.015151515,0.075757576,9.6,3.7,2.6,15.9,1.55,0.69,0.47,2.71,4.83,1.96,2.5,9.29,4.34,24.8,16.25,41,49,22,44,,8,-1.332347718,132
ISR,"242,929,000,000.00","7,624,000",Israel,ISR,18,20,38,0.498426023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-10.25314325,188
ITA,"2,194,750,000,000.00","60,483,000",Italy,ITA,122,159,281,0.464593357,8,9,11,28,0.018186929,0.014880214,0.013226857,0.046294,0.00501196,0.004100695,0.003645062,0.012757717,0.039145907,0.03202847,0.028469751,0.099644128,2.6,2.5,1.5,6.6,0.56,0.62,0.37,1.55,4.16,4.14,4.7,13,2.91,12.1,26.54,10,57,40,24,,53,-0.945001112,114
CIV,"24,074,625,536.00","19,738,000",Ivory Coast,CIV,6,4,10,0.050663694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.927473846,144
JAM,"15,069,767,442.00","2,702,000",Jamaica,JAM,25,25,50,1.850481125,4,4,4,12,0.14803849,0.14803849,0.14803849,0.44411547,0.265432099,0.265432099,0.265432099,0.796296296,0.08,0.08,0.08,0.24,21.2,24.5,17.2,62.9,29.84,39.82,26.84,96.5,8.5,10.33,13.2,32.03,190,121.8,68.76,21,2,2,2,,24,22.69399569,9
JPN,"5,867,150,000,000.00","127,451,000",Japan,JPN,162,141,303,0.237738425,7,14,17,38,0.013338459,0.010984614,0.005492307,0.02981538,0.002897489,0.002386167,0.001193084,0.006476739,0.056105611,0.04620462,0.02310231,0.125412541,1.9,1.8,0.6,4.3,0.33,0.36,0.12,0.81,5.96,5.97,3.81,15.74,1.41,7.3,29.33,7,70,50,21,,66,-46.79358101,204
JOR,"28,840,197,019.00","6,047,000",Jordan,JOR,4,5,9,0.148834133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.14067714,147
KAZ,"186,198,000,000.00","16,323,000",Kazakhstan,KAZ,41,74,115,0.704527354,7,1,5,13,0.030631624,0.006126325,0.042884274,0.079642223,0.026853135,0.005370627,0.037594389,0.069818151,0.043478261,0.008695652,0.060869565,0.113043478,4.4,1,5,10.4,3.02,0.81,3.8,7.63,4.62,1.12,10.04,15.78,16.04,21.4,36.98,15,28,28,14,,28,19.4118488,11
KEN,"33,620,684,016.00","40,513,000",Kenya,KEN,21,29,50,0.123417175,2,4,5,11,0.012341717,0.009873374,0.004936687,0.027151778,0.148717974,0.118974379,0.059487189,0.327179542,0.1,0.08,0.04,0.22,1.8,1.6,0.6,4,16.72,17.85,6.02,40.59,10.63,10.33,6.6,27.56,70.48,6.8,51.09,24,6,53,7,,19,16.49690408,13
KIR,"177,960,936.90","100,000",Kiribati,KIR,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.046834031,50
KWT,"176,590,000,000.00","2,736,000",Kuwait,KUW,2,8,10,0.365497076,0,0,1,1,0.036549708,0,0,0.036549708,0.005662835,0,0,0.005662835,0.1,0,0,0.1,5.2,0,0,5.2,0.64,0,0,0.64,10.63,0,0,10.63,0.64,5.2,10.63,79,80,58,64,,1,-6.926461276,175
KGZ,"5,918,610,958.00","5,448,000",Kyrgyzstan,KGZ,3,11,14,0.256975037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.66935983,104
LAO,"8,297,664,741.00","6,201,000",Laos,LAO,1,2,3,0.048379294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.859914973,113
LVA,"28,252,498,853.00","2,239,000",Latvia,LAT,14,32,46,2.054488611,1,0,1,2,0.044662796,0,0.044662796,0.089325592,0.035395099,0,0.035395099,0.070790198,0.02173913,0,0.02173913,0.043478261,6.4,0,5.2,11.6,3.98,0,3.58,7.56,2.31,0,3.59,5.9,14.72,22,13.08,53,30,26,57,,4,1.939332874,36
LBN,"42,185,230,768.00","4,227,000",Lebanon,LIB,7,3,10,0.236574403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.805056703,154
LSO,"2,426,200,017.00","2,171,000",Lesotho,LES,2,2,4,0.184246891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.34094793,84
LBR,"1,161,000,000.00","3,994,000",Liberia,LBR,2,2,4,0.100150225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.201525369,73
LBY,"71,950,000,000.00","6,355,000",Libya,LBA,1,4,5,0.078678206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-4.187000149,163
LIE,"5,145,000,000.00","36,032",Liechtenstein,LIE,2,1,3,8.325932504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.537794287,99
LTU,"42,725,404,055.00","3,287,000",Lithuania,LTU,23,39,62,1.886218436,2,1,2,5,0.060845756,0.030422878,0.060845756,0.15211439,0.046810558,0.023405279,0.046810558,0.117026395,0.032258065,0.016129032,0.032258065,0.080645161,8.7,5,7.1,20.8,5.26,3.51,4.73,13.5,3.43,2.08,5.32,10.83,26.47,40,23.55,38,17,12,27,,10,7.185120612,24
LUX,"59,474,583,333.00","507,000",Luxembourg,LUX,4,5,9,1.775147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-3.434694843,157
MKD,"10,165,373,218.00","2,060,000",Macedonia,MKD,2,2,4,0.194174757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.972656836,116
MDG,"9,946,995,390.00","20,714,000",Madagascar,MAD,4,3,7,0.03379357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.009871258,118
MWI,"5,700,383,783.00","14,901,000",Malawi,MAW,2,1,3,0.020132877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.666542349,103
MYS,"278,671,000,000.00","28,401,000",Malaysia,MAS,13,17,30,0.105630083,0,1,1,2,0.003521003,0.003521003,0,0.007042006,0.003588461,0.003588461,0,0.007176922,0.033333333,0.033333333,0,0.066666667,0.5,0.6,0,1.1,0.4,0.54,0,0.94,3.54,4.3,0,7.84,1.48,1.7,12.14,58,69,73,60,,3,-8.688393528,181
MDV,"2,050,135,788.00","316,000",Maldives,MDV,2,3,5,1.582278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.288217987,79
MLI,"10,589,925,352.00","15,370,000",Mali,MLI,2,4,6,0.039037085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.050004575,121
MLT,"8,886,572,143.00","416,000",Malta,MLT,2,3,5,1.201923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.849366097,112
