ISO,GDP.2011,pop.2010,Country name,NOC,F.2012,M.2012,NOC SIZE,NOC.Size.Per.100K.pop,Gold,Silver,Bronze,Total,Bronze.Per.100K.pop,Silver.Per.100K.pop,Gold.Per.100K.pop,Total.Per.100K.pop,Bronze.Per.1BN.GDP,Silver.Per.1BN.GDP,Gold.Per.1BN.GDP,Total.Per.1BN.GDP,Bronze.Per.Athlete,Silver.Per.Athlete,Gold.Per.Athlete,Total.Per.Athlete,Bronze.pop,Silver.pop,Gold.pop,Total.pop,Bronze.GDP,Silver.GDP,Gold.GDP,Total.GDP,Bronze.Athlete,Silver.Athlete,Gold.Athlete,Total.Athlete,GDP rank score,Population rank score,Athlete rank score,Official medal ranking,GDP rank,Pop rank,Team size rank,,"Total medal score (gold=3, silver =2, bronze=1)",Model-based score,Model-based rank
CHE,"635,650,000,000.00","7,826,000",Switzerland,SUI,30,76,106,1.354459494,2,2,0,4,0,0.02555584,0.02555584,0.051111679,0,0.003146386,0.003146386,0.006292771,0,0.018867925,0.018867925,0.037735849,0,4.2,3,7.2,0,0.47,0.32,0.79,0,2.44,3.11,5.55,1.9,17.4,14.21,38,63,30,52,,10,-10.75586027,191
SYR,"59,834,000,000.00","20,447,000",Syria,SYR,4,6,10,0.04890693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-3.758297669,160
TWN,"876,035,000,000.00","23,174,528",Taiwan,TPE,25,19,44,0.18986363,0,1,1,2,0.004315082,0.004315082,0,0.008630165,0.001141507,0.001141507,0,0.002283014,0.022727273,0.022727273,0,0.045454545,0.6,0.7,0,1.3,0.13,0.17,0,0.3,2.42,2.93,0,5.35,0.47,2,8.28,58,83,71,73,,3,-23.9220905,200
TJK,"6,522,200,291.00","6,879,000",Tajikistan,TJK,3,13,16,0.232591947,0,0,1,1,0.014536997,0,0,0.014536997,0.153322492,0,0,0.153322492,0.0625,0,0,0.0625,2.1,0,0,2.1,17.24,0,0,17.24,6.64,0,0,6.64,17.24,2.1,6.64,79,25,67,77,,1,0.277395076,44
TZA,"23,705,302,063.00","44,841,000",Tanzania,TAN,2,5,7,0.015610713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.942332562,145
THA,"345,649,000,000.00","69,122,000",Thailand,THA,18,19,37,0.053528544,0,2,1,3,0.001446717,0.002893435,0,0.004340152,0.002893108,0.005786217,0,0.008679325,0.027027027,0.054054054,0,0.081081081,0.2,0.5,0,0.7,0.33,0.87,0,1.2,2.87,6.98,0,9.85,2.07,1.2,16.83,50,61,77,41,,5,-8.971010743,182
TGO,"3,594,513,925.00","6,028,000",Togo,TOG,2,4,6,0.099535501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.465606016,95
TON,"435,589,199.60","104,000",Tonga,TGA,1,2,3,2.884615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.090311363,54
TTO,"22,483,115,868.00","1,341,000",Trinidad and Tobago,TRI,10,21,31,2.311707681,1,0,3,4,0.223713647,0,0.074571216,0.298284862,0.133433463,0,0.044477821,0.177911283,0.096774194,0,0.032258065,0.129032258,32.1,0,8.7,40.8,15,0,4.5,19.5,10.29,0,5.32,15.61,28.5,58.2,26.25,47,16,5,25,,6,4.277413096,26
TUN,"45,863,804,800.00","10,549,000",Tunisia,TUN,20,64,84,0.796284008,1,1,1,3,0.009479572,0.009479572,0.009479572,0.028438715,0.021803686,0.021803686,0.021803686,0.065411058,0.011904762,0.011904762,0.011904762,0.035714286,1.4,1.6,1.1,4.1,2.45,3.27,2.21,7.93,1.27,1.54,1.96,4.77,15.62,7.9,10.23,47,29,49,65,,6,2.953932812,31
TUR,"773,091,000,000.00","72,752,000",Turkey,TUR,66,48,114,0.156696723,2,2,1,5,0.001374533,0.002749065,0.002749065,0.006872663,0.001293509,0.002587018,0.002587018,0.006467544,0.00877193,0.01754386,0.01754386,0.043859649,0.2,0.5,0.3,1,0.15,0.39,0.26,0.8,0.93,2.27,2.89,6.09,1.71,2.1,14.14,37,67,70,53,,11,-14.22573822,195
TKM,"24,107,017,544.00","5,042,000",Turkmenistan,TKM,3,7,10,0.198333994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.869344492,142
TUV,"35,784,426.83","9,827",Tuvalu,TUV,1,2,3,30.52813677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.013705627,46
UGA,"16,809,623,489.00","33,424,000",Uganda,UGA,5,11,16,0.047869794,1,0,0,1,0,0,0.002991862,0.002991862,0,0,0.059489732,0.059489732,0,0,0.0625,0.0625,0,0,0.3,0.3,0,0,6.02,6.02,0,0,10.31,10.31,18.06,0.9,30.93,58,23,78,18,,3,1.500297195,37
